sample	HRD	Telomeric AI	LST	HRD-sum
MAGIC_2020_002.2020_002T	1	5	1	7
MAGIC_2020_003.2020_003T	21	22	22	65
MAGIC_2020_005.2020_005T	6	5	5	16
MAGIC_2020_006.2020_006T	4	5	1	10
MAGIC_2020_007.2020_007T	4	7	5	16
MAGIC_2020_008.2020_008T	0	0	2	2
MAGIC_2020_009.2020_009T	0	0	0	0
MAGIC_2020_012.2020_012T	0	0	2	2
MAGIC_2020_013.2020_013T	1	1	1	3
MAGIC_2020_014.2020_014T	2	15	2	19
MAGIC_2020_015.2020_015T	1	0	4	5
MAGIC_2020_017.2020_017T	6	8	6	20
MAGIC_2020_018.2020_018T	15	33	28	76
MAGIC_2020_019.2020_019T	1	0	1	2
MAGIC_2020_021.2020_021T	3	8	14	25
MAGIC_2020_022.2020_022T	7	25	9	41
MAGIC_2020_023.2020_023T	4	4	4	12
MAGIC_2020_024.2020_024T	5	6	2	13
MAGIC_2020_027.2020_027T	3	3	5	11
MAGIC_2020_028.2020_028T	14	16	16	46
MAGIC_2020_029.2020_029T	0	1	0	1
MAGIC_2020_030.2020_030T	8	24	15	47
MAGIC_2020_032.2020_032T	16	13	4	33
MAGIC_2020_033.2020_033T	14	12	8	34
MAGIC_2020_034.2020_034T	11	24	22	57
MAGIC_2020_035.2020_035T	4	6	2	12
MAGIC_2020_037.2020_037T	8	13	14	35
MAGIC_2020_039.2020_039T	2	2	4	8
MAGIC_2020_040.2020_040T	0	1	1	2
MAGIC_2020_041.2020_041T	1	2	0	3
MAGIC_2020_042.2020_042T	5	5	6	16
MAGIC_2020_043.2020_043T	9	19	34	62
MAGIC_2020_044.2020_044T	4	7	2	13
MAGIC_2020_045.2020_045T	4	2	5	11
MAGIC_2020_047.2020_047T	6	8	2	16
MAGIC_2020_049.2020_049T	4	5	3	12
MAGIC_2020_050.2020_050T	11	20	17	48
MAGIC_2020_051.2020_051T	4	4	4	12
MAGIC_2020_053.2020_053T	14	11	12	37
MAGIC_2020_055.2020_055T	2	3	3	8
MAGIC_2020_056.2020_056T	5	3	6	14
MAGIC_2020_057.2020_057T	16	27	26	69
MAGIC_2020_058.2020_058T	1	6	2	9
MAGIC_2020_059.2020_059T	8	6	8	22
MAGIC_2020_060.2020_060T	2	0	2	4
MAGIC_2020_061.2020_061T	27	28	21	76
MAGIC_2020_062.2020_062T	6	18	10	34
MAGIC_2020_063.2020_063T	1	3	1	5
MAGIC_2020_064.2020_064T	4	3	1	8
MAGIC_2020_065.2020_065T	12	20	12	44
MAGIC_2020_066.2020_066T	17	17	7	41
MAGIC_2020_067.2020_067T	1	2	1	4
MAGIC_2020_068.2020_068T	1	4	3	8
MAGIC_2020_069.2020_069T	13	19	18	50
MAGIC_2020_071.2020_071T	1	6	4	11
MAGIC_2020_072.2020_072T	0	0	0	0
MAGIC_2020_073.2020_073T	10	9	9	28
