sample	Signature_1	Signature_2	Signature_3	Signature_5	Signature_6	Signature_8	Signature_13	Signature_17	Signature_18	Signature_20	Signature_26	Signature_30	unassigned
2020_002T	68.58833615637838	0	147.9343589727381	145.76822251520133	0	0	0	0	0	0	0	0	70.7090823556822
2020_003T	637.4549414964192	0	1569.4204799289319	0	0	761.6657483933527	0	0	0	0	310.10544721608153	0	464.3533829652147
2020_005T	329.8927560834071	0	372.2791164942886	0	0	140.4149790005544	0	0	0	0	167.61544096210255	0	59.79770745964731
2020_006T	222.35972796487573	0	252.27431377615693	0	0	0	0	0	0	0	112.46400685939385	0	218.90195139957348
2020_007T	410.2724229958875	0	380.3352968202954	393.0882156017291	0	0	0	0	0	0	169.2578228080127	0	344.04624177407527
2020_008T	121.69073484234184	0	323.4140325930174	0	0	0	0	0	0	0	94.43813309766782	0	146.45709946697298
2020_009T	180.11889927777798	0	661.8899020516644	392.80553627396193	0	0	0	0	0	0	303.1363690531624	0	108.04929334343319
2020_012T	267.9143883249291	719.0112199253413	405.5672818710851	0	0	283.44706232662963	516.5433474733027	0	0	0	0	0	314.51670007871235
2020_013T	182.43256474652878	0	0	457.0907344445951	0	0	0	0	0	0	0	0	423.4767008088761
2020_014T	610.2654258103894	2464.584833482928	1016.1858873890486	0	0	0	1987.9487154524923	0	0	0	0	0	1409.0151378651417
2020_015T	0	265.46033356742635	185.45294417086927	281.2274576097061	0	0	268.11746587771574	0	0	0	0	0	214.74179877428253
2020_017T	534.9730364735963	0	721.4592500020544	0	0	305.2396883044303	0	0	0	0	311.8432848016647	0	236.4847404182542
2020_018T	0	0	3484.2951362108415	0	0	4693.322119844046	763.9040180505	0	0	0	0	0	1673.4787258946126
2020_019T	216.5216128577377	0	314.1960483725644	260.6303983051424	0	0	0	0	0	0	132.7651518427432	0	51.88678862181223
2020_021T	339.53726461259316	139.35603016058036	399.96786564477264	0	0	0	120.02969466780621	0	0	0	242.1307507643451	0	243.97839414990244
2020_022T	756.2992229175318	0	510.57260571568656	451.273340493674	0	0	0	0	501.0310105471667	0	269.3219110939777	0	535.501909231963
2020_023T	489.3826230749263	0	219.42058629702757	0	0	284.2380612950859	0	0	0	0	133.56818919465059	0	262.3905401383097
2020_024T	279.42056378886844	0	0	583.8897725566906	0	173.29151044807674	0	0	0	0	0	0	201.3981532063642
2020_027T	235.81248270042943	0	186.27012765565172	387.3745751623137	0	221.08338728407665	0	0	0	0	0	0	122.45942719752838
2020_028T	507.0929250312655	112.58547705029537	347.09847698979496	0	0	0	0	0	0	0	0	0	509.2231209286442
2020_029T	198.32398638603343	0	205.923184901696	251.64030746601935	0	0	0	0	0	0	0	0	221.11252124625116
2020_030T	917.531570894326	0	631.846147618479	543.8212768023727	0	0	0	0	447.2050947063968	0	372.7321432596904	0	404.86376671873495
2020_032T	739.2939328703693	0	1217.732143959679	0	0	798.9388669917834	0	0	0	0	353.3251912876869	0	333.70986489048164
2020_033T	239.46318775438743	0	464.7836477709202	399.98886537724053	0	0	0	0	0	0	0	0	416.76429909745184
2020_034T	472.98255800344054	0	508.9492397558232	378.23574238417973	0	0	0	0	0	0	0	0	355.8324598565564
2020_035T	329.44749813305197	0	0	475.2548891687402	0	249.2015586095402	0	0	0	0	0	0	288.09605408866764
2020_037T	1514.5456120549202	0	345.2742206674479	342.60017759956037	0	0	0	0	0	0	0	0	395.5799896780718
2020_039T	399.75858808932094	0	392.8725716106321	371.5279800033127	0	0	0	0	0	0	150.87771978542042	0	298.9631405113139
2020_040T	245.17812499549575	0	316.2597306470974	273.5538107500844	0	169.4321669031641	0	0	0	0	126.28930033628747	0	51.28686636787097
2020_041T	352.08051358172827	0	351.38977734222294	360.58065054953613	0	202.8709454133989	0	0	0	0	246.24777015659322	0	107.83034295652055
2020_042T	541.0558384205285	0	380.03352446595716	324.6485954306948	0	0	0	0	0	0	165.03574813891004	0	225.22629354390938
2020_043T	605.3108935179393	0	2361.736158948467	0	0	1010.700259491486	0	0	0	0	536.1325463193518	0	449.12014172275576
2020_044T	455.32716766712423	0	667.8460116423015	1078.6494415160814	0	0	0	0	0	0	630.0866691280028	0	328.09071004649013
2020_045T	343.4971471613396	0	321.2643517050734	504.13717843643735	0	277.1372071504025	0	0	0	0	218.89127948528574	0	108.07283606146143
2020_047T	381.12779499748547	0	677.7353677570904	788.6465049541268	0	0	0	0	0	0	278.8901848473835	0	235.60014744391356
2020_049T	0	3478.5182721621895	0	562.4004675588931	0	0	0	0	0	0	0	0	802.0812602789174
2020_050T	279.57091703255696	0	1005.298760503905	0	0	510.39653229997396	0	0	0	0	238.4551553898882	0	165.278634773676
2020_051T	384.88491558415706	0	368.8951922554161	0	0	165.5672528110735	0	0	0	0	240.01393930943715	0	88.63870003991633
2020_053T	479.97211845280657	0	290.69749807022737	306.6181869225914	0	0	119.10317933527872	0	0	0	0	0	215.6090172190959
2020_055T	460.1140049986112	0	0	546.4809566461637	0	0	0	0	0	0	158.39213183311267	0	468.0129065221124
2020_056T	0	3536.341457987648	0	0	0	0	1039.7661205720524	0	0	0	0	0	1260.8924214402996
2020_057T	402.7773827241053	0	1943.8205880629775	0	0	894.6301664538227	0	0	0	0	311.3533728391013	0	245.41848991999314
2020_058T	368.0194216730567	0	190.8081802970015	484.23724756759987	0	0	0	0	0	0	0	0	309.9351504623419
2020_059T	346.98489301309223	0	292.4323964182443	0	0	0	0	0	0	0	211.9672430353058	0	323.6154675333577
2020_060T	373.69051014357484	0	668.3673777611367	0	0	0	0	0	0	0	251.06141982875255	0	235.8806922665358
2020_061T	286.0473974660165	0	1785.0798412565541	0	0	0	0	0	0	0	211.94948665539084	0	405.92327462203866
2020_062T	753.718446736449	0	726.9749534712535	0	0	0	0	0	215.0610536879176	0	507.5609263591699	0	447.68461974521006
2020_063T	482.9484361777219	112.49256411312199	397.48492885907274	0	0	185.22345439753923	0	0	0	0	234.10933713763535	0	169.74127931490875
2020_064T	423.6466636329286	0	245.64682989581019	328.3089192449298	0	247.5692763038598	0	0	0	0	195.79564893567405	0	73.03266198679762
2020_065T	643.2546517649005	0	1458.5670634781422	0	0	0	0	0	0	0	382.93052132279024	0	299.24776343416715
2020_066T	510.58503865097646	0	652.7759832069628	1057.5709515334465	0	417.0003022382607	371.23533673054806	0	0	0	417.4870881695027	0	94.34529947030296
2020_067T	744.342079189355	0	342.7595551492449	605.7967204322342	0	410.0025538566449	0	0	0	0	322.86100092887045	0	107.23809044365044
2020_068T	601.7314232434303	0	226.4909577857929	0	0	282.29573276560836	0	0	0	0	213.86576196831007	0	134.61612423685847
2020_069T	1131.4643521987548	747.8903356135696	838.5604061270587	0	0	868.2891968890199	686.574569273715	0	1373.1063661929834	0	0	0	240.11477370489865
2020_071T	0	1600.6922846111956	573.1579535363985	0	0	0	1989.6948380790814	0	0	0	0	0	844.4549237733245
2020_072T	61.675542496163516	0	0	173.11345110119865	0	0	0	0	0	0	0	0	73.21100640263785
