sample_id	ascatPurityScore	TMB_nonSyn
FBC070890	0.5	3.1
FBC060681	0.5	4.1666
FBC061126	0.25	2.3333
FBC040626	0.39	4.3666
FBC070197	0.5	3.4
FBC020636	0.37	1.1666
FBC090235	0.48	1.7666
FBC061542	0.55	1.9666
FBC061699	0.6	3.1666
FBC051334	0.66	5.4666
FBC070107	0.77	1.0666
FBC413175	0.57	1.4666
FBC050024	0.68	1.0666
FBC080607	0.44	3.0666
FBC020034	0.69	3.6333
FBC106117	0.41	1.1333
FBC070295	0.49	1.2
FBC050528	0.55	2.2666
FBC050001	0.33	4.4
FBC070261	0.61	2.5
FBC070425	0.7	0.7666
FBC060159	0.71	0.9
FBC031273	0.3	0.6666
FBC070169	0.53	8.3
FBC406015	0.55	2.4333
FBC060467	0.33	2.6
FBC050642	0.69	3.3333
FBC040197	0.7	0.6
FBC062060	0.69	1.5
FBC020160	0.55	2.3333
FBC020031	0.58	3.4333
FBC070003	0.58	1.7
FBC050798	0.63	1.9
FBC016006	0.38	1.4666
FBC016026	0.63	1.9333
FBC030130	0.41	4.6
FBC016050	0.49	5.5333
FBC050558	0.53	1.3
FBC100739	0.41	4.0333
FBC510118	0.59	4
FBC030010	0.57	2.4333
FBC070205	0.75	5.7666
FBC208006	0.65	2.5
FBC090326	0.46	3.1
FBC090590	0.7	1.1
FBC050018	0.51	1.3666
FBC060031	0.85	2.8
FBC712007	0.77	4.9333
FBC050467	0.65	2.1333
FBC070474	0.67	1.6
FBC060450	0.75	1.0333
FBC060776	0.58	2.5333
FBC060411	0.6	1.2333
FBC060743	0.69	0.9666
FBC070266	0.53	1.4333
FBC050003	0.69	1.4666
FBC013587	0.69	2.4666
FBC020444	0.49	1.5666
FBC112021	0.42	2.2333
FBC020030	0.62	5.4666
FBC020675	0.69	2.3333
FBC020091	0.42	2.9
FBC020021	0.42	1.8
FBC060116	0.62	3.8333
FBC070086	0.47	1.0666
FBC212009	0.77	6.4
FBC110004	0.46	1.7
FBC050979	0.71	0.7333
FBC060097	0.38	4.1
FBC108061	0.38	2.4
FBC106021	0.37	2.8
FBC070021	0.4	2.4
FBC020187	0.46	4.5666
FBC050727	0.76	0.8666
FBC110062	0.44	2.2666
FBC051074	0.63	1.0333
