sample	Signature_1	Signature_2	Signature_3	Signature_5	Signature_6	Signature_8	Signature_13	Signature_17	Signature_18	Signature_20	Signature_26	Signature_30	unassigned
MAGIC_2020_002.2020_002T	0	0	180.00837738507374	235.02470405563196	0	0	0	0	0	0	0	0	145.9669185592943
MAGIC_2020_003.2020_003T	767.8092902046511	0	1424.6979507327737	1143.2714108779264	0	517.9265349834222	0	0	0	0	0	0	624.2948132012266
MAGIC_2020_005.2020_005T	376.7319126059275	0	373.61589777634305	306.9338538669721	0	0	0	0	0	0	0	0	335.71833575075743
MAGIC_2020_006.2020_006T	240.43224780329442	0	229.52477299935805	424.4355522467498	0	0	0	0	0	0	0	0	136.60742695059776
MAGIC_2020_007.2020_007T	450.1107211398737	0	324.3280037549587	882.404005020461	0	0	0	0	0	0	0	0	455.1572700847066
MAGIC_2020_008.2020_008T	126.63784842920982	0	310.8405872986594	286.5809940862414	0	0	0	0	0	0	0	0	160.94057018588944
MAGIC_2020_009.2020_009T	191.6757276808036	0	481.52442851005384	994.3455835087098	0	0	0	0	0	0	0	0	379.4542603004329
MAGIC_2020_012.2020_012T	333.23590084348814	851.3299321053671	367.57043909810864	673.4172673157045	0	0	486.23365495823407	0	0	0	0	0	219.21280567909753
MAGIC_2020_013.2020_013T	199.86855540548981	0	0	762.261495177511	0	0	0	0	0	0	0	0	317.86994941699913
MAGIC_2020_014.2020_014T	754.549255061708	2831.086574260799	785.2197934964022	1843.5512432416167	0	0	1910.761289450285	0	0	0	0	0	279.8318444891893
MAGIC_2020_015.2020_015T	0	312.7920586310903	172.8736277466934	522.5850525708822	0	0	257.5694132758933	0	0	0	0	0	188.17984777544075
MAGIC_2020_017.2020_017T	637.0204097476355	0	513.5960277902618	1062.7078135477564	0	0	0	0	0	0	0	0	404.6757489143465
MAGIC_2020_018.2020_018T	0	0	3632.4181354184775	1658.8186142990985	0	4191.384555162354	0	0	0	0	0	0	2833.378695120069
MAGIC_2020_019.2020_019T	239.31533833995718	0	211.71883021205215	661.1020627956823	0	0	0	0	0	0	0	0	146.8637686523084
MAGIC_2020_021.2020_021T	333.2450314265507	183.03061160177066	346.9427184633297	382.3286870908744	0	0	0	0	0	0	0	186.27527499402726	398.17767642344734
MAGIC_2020_022.2020_022T	890.011353530482	233.75556671420622	0	1449.970308160618	0	0	0	0	449.50075956783024	0	0	0	657.7620120268634
MAGIC_2020_023.2020_023T	502.4673185744515	0	0	535.970293601448	0	230.64673667282818	0	0	0	0	0	0	468.9156511512724
MAGIC_2020_024.2020_024T	300.1883738183527	0	0	835.0634226418496	0	0	0	0	0	0	0	0	356.7482035397977
MAGIC_2020_027.2020_027T	267.4325419236559	0	0	761.7083110077504	0	0	0	0	0	0	0	0	443.85914706859376
MAGIC_2020_028.2020_028T	543.7831551429575	187.13624848097356	314.6185360819202	591.9441433296613	0	0	0	0	0	0	0	0	167.51791696448754
MAGIC_2020_029.2020_029T	229.33808261656483	0	189.86566942610253	549.816721637449	0	0	0	0	0	0	0	0	157.9795263198837
MAGIC_2020_030.2020_030T	978.6284989266453	0	409.23296329707193	1551.8444555950095	0	0	0	0	376.4844147449402	0	0	0	642.8096674363333
MAGIC_2020_032.2020_032T	841.2585092010684	0	958.4757179662688	1379.9983898766318	0	530.0384392807815	0	0	0	0	0	0	450.2289436752494
MAGIC_2020_033.2020_033T	247.3197286134531	0	418.9955430891649	788.638699941903	0	0	0	0	0	0	0	0	409.04602835547894
MAGIC_2020_034.2020_034T	493.4730840689535	0	450.4665542217069	739.9983328137143	0	0	0	0	0	0	0	0	408.0620288956252
