Sample ID	Study	Tumour depth	Normal depth	Tumour purity	TMB	SNV	Indel	SV
FBC020034	Familial Breast	116.182	44.634	0.69	3.6333	10663	1334	802
FBC208006	Familial Breast	90.5801	43.3147	0.65	2.5	7663	852	465
FBC212009	Familial Breast	88.6877	46.1118	0.77	6.4	22536	2020	363
FBC108061	Familial Breast	88.4053	41.5103	0.38	2.4	7673	795	525
FBC060776	Familial Breast	87.3965	38.8257	0.58	2.5333	7248	981	230
FBC050798	Familial Breast	87.2947	41.4474	0.63	1.9	5501	556	337
FBC712007	Familial Breast	85.9173	43.2541	0.77	4.9333	15948	1566	651
FBC061542	Familial Breast	84.7696	37.5571	0.55	1.9666	7197	987	247
FBC070295	Familial Breast	83.9182	39.0551	0.49	1.2	4037	263	152
FBC020021	Familial Breast	83.7839	40.3516	0.42	1.8	5726	609	310
FBC016006	Familial Breast	83.3675	41.8583	0.38	1.4666	3850	706	42
FBC050528	Familial Breast	83.3197	35.3824	0.55	2.2666	7383	585	294
FBC016026	Familial Breast	83.1941	45.8493	0.63	1.9333	8163	834	345
FBC020030	Familial Breast	82.6466	39.7176	0.62	5.4666	16946	1781	888
FBC106117	Familial Breast	82.4861	42.6965	0.41	1.1333	2878	318	78
FBC060411	Familial Breast	82.4	38.1746	0.6	1.2333	6189	453	331
FBC070107	Familial Breast	82.1848	39.9879	0.77	1.0666	4246	344	86
FBC070086	Familial Breast	82.1749	38.8985	0.47	1.0666	3635	356	185
FBC016050	Familial Breast	80.3355	48.1212	0.49	5.5333	16593	1101	181
FBC030010	Familial Breast	80.0181	33.1982	0.57	2.4333	7577	970	231
FBC060031	Familial Breast	79.8561	45.9401	0.85	2.8	10274	992	609
FBC020091	Familial Breast	78.94	39.0107	0.42	2.9	8183	873	287
FBC090590	Familial Breast	78.8994	44.4568	0.7	1.1	3644	327	76
FBC050001	Familial Breast	78.894	38.1141	0.33	4.4	12367	1464	280
FBC062060	Familial Breast	78.8656	39.1653	0.69	1.5	3243	926	223
FBC070197	Familial Breast	78.8647	37.5538	0.5	3.4	7469	820	382
FBC060743	Familial Breast	78.7559	38.7898	0.69	0.9666	3097	313	43
FBC080607	Familial Breast	78.4057	38.1048	0.44	3.0666	9814	740	419
FBC071015	Familial Breast	78.3261	41.3341	0.88	1.8	5006	522	212
FBC050003	Familial Breast	78.1663	32.5882	0.69	1.4666	4867	447	137
FBC106021	Familial Breast	78.1561	42.5985	0.37	2.8	8995	1095	170
FBC413175	Familial Breast	77.9205	42.8791	0.57	1.4666	5814	786	183
FBC510118	Familial Breast	77.8017	39.7128	0.59	4	10305	1701	348
FBC060467	Familial Breast	77.6151	31.6926	0.33	2.6	8268	657	163
FBC040626	Familial Breast	77.5814	36.3008	0.39	4.3666	12101	1317	560
FBC020636	Familial Breast	77.5629	32.4216	0.37	1.1666	4386	473	156
FBC070169	Familial Breast	77.366	39.9628	0.53	8.3	29961	400	15
FBC060097	Familial Breast	76.8927	32.6299	0.38	4.1	13445	982	286
FBC050558	Familial Breast	76.8359	39.5628	0.53	1.3	3908	401	490
FBC020444	Familial Breast	76.7074	41.4483	0.49	1.5666	4585	659	113
FBC070003	Familial Breast	76.6841	36.1861	0.58	1.7	5365	631	127
FBC070021	Familial Breast	76.5412	42.5563	0.4	2.4	7093	721	193
FBC050018	Familial Breast	76.4606	35.2844	0.51	1.3666	5259	684	107
FBC020187	Familial Breast	75.7759	39.8381	0.46	4.5666	12305	1416	369
FBC060450	Familial Breast	75.413	32.619	0.75	1.0333	3760	360	21
FBC406015	Familial Breast	74.511	44.3193	0.55	2.4333	8319	1029	581
FBC051074	Familial Breast	74.4089	44.6925	0.63	1.0333	4294	503	91
FBC070474	Familial Breast	74.191	40.3752	0.67	1.6	5479	415	716
FBC050979	Familial Breast	73.9828	41.9303	0.71	0.7333	2635	280	9
FBC013587	Familial Breast	73.9765	37.372	0.69	2.4666	8549	923	193
FBC070261	Familial Breast	73.6088	38.2008	0.61	2.5	7564	922	219
FBC050642	Familial Breast	73.3919	42.455	0.69	3.3333	10807	1480	391
FBC060116	Familial Breast	73.3768	41.2186	0.62	3.8333	13283	1301	540
FBC020031	Familial Breast	72.7208	37.7038	0.58	3.4333	8586	889	183
FBC051334	Familial Breast	72.4846	42.8432	0.66	5.4666	15936	1201	594
